InteractorA,InteractorB
Q8N1B4,C9JG97
Q8N1B4,Q6PJ05
Q8N1B4,Q8N5Z9
Q8N1B4,Q9Y5K8
Q8N1B4,Q9NX04
Q8N1B4,Q8IYE0
Q8N1B4,P26196
Q8N1B4,Q8N6R0
Q8N1B4,Q7L775
Q8N1B4,Q6P9G8
Q8N1B4,Q969S9
Q8N1B4,Q92805
Q8N1B4,Q96CS2
Q8N1B4,Q96ES5
Q8N1B4,V9HW29
Q8N1B4,A0A0S2Z4Q4
Q8N1B4,O14964
Q8N1B4,Q63ZY3
Q8N1B4,Q5T5P2
Q8N1B4,Q6P597
Q8N1B4,P61968
Q8N1B4,P55081
Q8N1B4,Q9Y3B7
Q8N1B4,Q15653
Q8N1B4,P46087
Q8N1B4,Q9BSJ6
Q8N1B4,Q6NYC8
Q8N1B4,Q13131
Q8N1B4,P54646
Q8N1B4,P20338
Q8N1B4,Q9H4P4
Q8N1B4,Q9H788
Q8N1B4,O75558
Q8N1B4,Q9NU19
Q8N1B4,Q8N8B7
Q8N1B4,D3DUQ6
Q8N1B4,Q15561
Q8N1B4,Q96EK4
Q8N1B4,P06753
Q8N1B4,Q5VU62
Q8N1B4,Q9Y4K3
Q8N1B4,Q96PN8
Q8N1B4,Q5T7W7
Q8N1B4,P40222
Q8N1B4,Q99757
Q8N1B4,O75604
Q8N1B4,Q548N1
Q8N1B4,Q9UK41
Q8N1B4,Q96JG6
Q8N1B4,Q9UID3
Q8N1B4,Q15007
Q8N1B4,Q96NC0
Q58A44,P25788
Q8WV22,Q96MG7
Q8WV22,Q96SB8
Q8TE76,P40763
Q5VTT5,Q13287
O14787,Q96GX9
O14787,Q6P1W5
O14787,Q13557
O14787,O00471
O14787,V9HW27
O14787,O95198
O14787,P15531
O14787,Q96PV4
O14787,P54274
P45379,Q15014
Q9Y5U5,Q9UNG2
Q92956,O43557
Q92956,Q12933
Q92956,Q12933
Q92956,O00463
Q9NP91,Q6UY14
Q9NP91,P60370
Q9NP91,P60409
Q9NP91,P60410
Q9NP91,P60411
Q9NP91,Q7Z3S9
Q9Y265,P35222
Q9Y265,O60832
Q9Y265,O95905
Q9Y265,G3I183
Q9Y265,Q92993
Q9Y265,O75665
Q9Y265,Q9Y230
Q9Y265,O14746
Q9Y265,P63279
Q9Y265,Q15906
Q9Y265,P25490
Q9Y265,Q9UHR6
Q9BRG2,P00533
Q8NF91,Q9NRI5
Q8NF91,P50402
Q8NF91,O94901
Q8NF91,Q9UH99
Q99963,Q99700
Q99963,P42858
Q99963,Q70E73
Q99963,Q99961
Q99963,Q99962
Q96HL8,P14136
Q96HL8,Q5HYK7
Q96HL8,Q5HYK7
Q96HL8,Q9H9H4
Q96HL8,O15156
Q92547,P31749
Q92547,O75419
Q92547,P03120
Q92547,Q01094
Q92547,Q9UGU0
Q92547,Q13105
Q96KB5,P10398
Q96KB5,P04637
P29353,P05067
P29353,P10275
P29353,P46108
P29353,P00533
P29353,P04626
P29353,P21860
P29353,Q15303
P29353,P03372
P29353,Q13480
P29353,P62993
P29353,P08069
P29353,P06213
P29353,Q62120
P29353,P10721
P29353,P28482
P29353,P08581
P29353,P03495
P29353,P27986
P29353,Q05209
P29353,Q07889
G2XKQ0,B2R8Y4
G2XKQ0,Q59GP6
G2XKQ0,A0A0S2Z4M1
G2XKQ0,O15169
G2XKQ0,Q96B23
G2XKQ0,P61024
G2XKQ0,Q8WWZ3
G2XKQ0,P62508
G2XKQ0,Q9BPY3
G2XKQ0,Q8TCP9
G2XKQ0,O75344
G2XKQ0,Q53SE7
G2XKQ0,P07910
G2XKQ0,Q9BYQ4
G2XKQ0,Q96JM7
G2XKQ0,Q5TA79
G2XKQ0,Q5TA82
G2XKQ0,Q8NDC0
G2XKQ0,Q15742
G2XKQ0,O75928
G2XKQ0,Q01826
G2XKQ0,Q9Y6X0
G2XKQ0,P35711
G2XKQ0,Q16623
G2XKQ0,P63165
G2XKQ0,Q12933
G2XKQ0,P36406
G2XKQ0,Q9UBT2
G2XKQ0,P63279
G2XKQ0,Q7KZS0
G2XKQ0,Q9HCK0
G2XKQ0,Q15916
G2XKQ0,O60232
Q8ND83,Q13643
Q8ND83,P25788
O94842,A0A0S2Z5G4
O94842,B4DE54
O94842,Q8N9N5
O94842,Q8N9N5
O94842,Q8N9N5
O94842,Q53EP0
O94842,Q8WXD5
O94842,Q01449
O94842,O95947
O94842,Q96E35
Q93096,Q9NRU3
Q9P2F8,Q9Y2T2
Q9P2F8,P26196
O60292,P63104
Q9BVW5,P15927
Q9BVW5,Q8IYF3
P19544,Q6A162
P19544,P60410
Q9Y6X6,Q8IZU9
Q9Y3E5,Q05397
Q9Y3E5,Q08117
Q9UMS6,Q13418
Q9Y2L5,A5PLN9
Q9Y2L5,O43617
Q496J9,P0DPI0
P31949,P04271
Q9BWD1,Q8TBB1
Q9BWD1,P54274
Q9BZM4,P26718
Q8IW36,P50222
Q6IV72,P60409
Q8WTR7,Q8WTP8
Q8WTR7,P49760
Q8WTR7,Q6P158
Q8WTR7,Q9NWQ4
Q8WTR7,P60410
Q8WTR7,P60411
Q8WTR7,Q8WWY3
Q8WTR7,P98175
Q8WTR7,D3DU92
Q8WTR7,Q8WV44
Q8WTR7,P15622
Q8WTR7,Q3KQV3
Q8WTR7,O43309
Q53GI3,O95273
Q53GI3,P49760
Q53GI3,P57086
Q6XR72,Q9BRI3
Q6XR72,Q99726
Q6XR72,O14863
P01282,P27487
P01282,Q12884
P01282,O43765
P01282,P32241
Q96PN8,Q6UY14
Q96PN8,Q5JST6
Q96PN8,Q08379
Q96PN8,Q9UKT9
Q96PN8,Q8TBB1
Q96PN8,Q9BYM8
Q96PN8,Q04864
Q96PN8,P15884
Q96PN8,Q08117
Q96PN8,Q9C026
Q96PN8,Q8N1B4
Q96PN8,P24278
Q96KV7,Q93062
Q5VTQ0,P50222
Q8TAA9,P27701
